time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656334520,c05f0a,43.68937683105469,-79.64200042014897,64.76684469545819,226.28732894152503,-0.32512,JZA689  ,False,False,False,1401,144.78,137.16,1656334516.287,1656334519.902
1656334520,c07d20,43.63023376464844,-79.40033313839935,55.963373854650904,251.2319399331566,0.32512,JZA7953 ,True,False,False,0645,,,1656334512.983,1656334519.374
1656334520,c064d8,43.675076759467686,-79.6100071498326,,,,ACA991  ,True,False,False,0506,,,1656334519.865,1656334519.865
1656334520,c01c7c,43.504416255627646,-80.45078822544644,49.51774034570883,330.77194805685485,3.5763200000000004,CFKUL   ,False,False,False,5347,899.1600000000001,891.5400000000001,1656334519.419,1656334519.789
1656334520,c066dd,43.680290610103285,-79.61720057896206,,,,ACA176  ,True,False,False,2152,,,1656334080.94,1656334499.306
1656334520,a34729,43.514923095703125,-79.72791095112643,143.2521024739443,183.29396498784507,9.7536,DAL2188 ,False,False,False,0566,1996.44,1988.8200000000002,1656334519.456,1656334519.975
1656334520,a00e0e,43.12217583090572,-78.97005353655135,82.85583383074388,24.9739109058834,5.8521600000000005,N102VS  ,False,False,False,7037,487.68,449.58,1656334519.731,1656334519.974
1656334520,c041b9,42.944732666015625,-79.66895524845563,179.2695253350995,174.73114169854708,7.152640000000001,SWG438  ,False,False,False,0563,5875.02,6035.040000000001,1656334519.729,1656334519.996
1656334520,c1e863,43.67068862915039,-79.66839635094931,,,,MTC66   ,True,False,False,,,,1656334258.459,1656334258.459
1656334520,c067ae,43.678859128790386,-79.61747850690568,51.675381256283345,226.6135389328812,-0.32512,ACA     ,True,False,False,3117,,,1656334503.5,1656334503.5
1656334520,c00cfe,43.825393935381356,-79.9353463309152,56.80589324229703,308.0115102700165,3.90144,MAL8084 ,False,False,False,5526,2133.6,2133.6,1656334519.789,1656334519.946
1656334520,acb46d,43.92985715704449,-80.28422764369418,211.2229632870131,300.4372437217057,0.0,ASA7    ,False,False,False,3074,10363.2,10645.140000000001,1656334519.679,1656334519.996
1656334520,c04af4,43.67736053466797,-79.59666584813317,,,,JZA953  ,True,False,False,6313,137.16,,1656334519.086,1656334519.974
1656334520,c1e945,43.670689211053364,-79.59993634905133,,,,MTC565  ,True,False,False,,,,1656334258.929,1656334258.929
1656334520,c0653f,43.675804138183594,-79.59751217864283,,,,ACA165  ,True,False,False,0567,144.78,,1656334519.576,1656334519.772
1656334520,c060b1,43.62887191772461,-79.40014151639718,51.57028475961389,251.38430799266894,1.30048,POE510  ,True,False,False,4526,,,1656334300.753,1656334511.607
1656334520,c030ef,43.65687483448093,-79.62374005998885,90.21711010916135,225.46205272143075,15.280640000000002,ACA1250 ,False,False,False,2210,236.22,220.98,1656334519.634,1656334519.975
1656334520,a6b008,42.92491149902344,-79.69808179278704,94.5191980591454,251.26920640779684,0.0,N53W    ,False,False,False,0453,3025.1400000000003,3070.86,1656334519.861,1656334519.975
1656334520,c0797b,43.67921990863347,-79.6135057721819,,,,ACA1200 ,True,False,False,2270,,,1656334513.441,1656334513.441
